sub,day,condition,button,jhana,ch_name,n_epochs_x,n_channels_x,Mean_SCL,Num_SCRs,Mean_SCR_Amplitude,Mean_HR,SDNN,RMSSD,LF,HF,LF_HF_Ratio,Mean_RR,Mean_Amplitude,Mean_Cycle_Duration,RR_Variability,Amplitude_Variability,Cycle_Duration_Variability,n_epochs_y,n_channels_y,lempel_ziv_norm,permutation_entropy,spectral_entropy,sample_entropy,hjorth_mobility,hjorth_complexity,nk_fsi,nk_lle,nk_sampen,nk_pen,nk_lzc,delta,theta,alpha,beta,gamma,global_standard,order2,jhana_strength_nimitta,jhana_stabilit_j1,jhana_stabilit_j2,jhana_stabilit_j3,jhana_stabilit_j4,jhana_stabilit_jbeeps,jhana_fading_j1,jhana_fading_j2,jhana_fading_j3,jhana_fading_j4,jhana_fading_beeps,jhana_choice_beeps,jhana_beep_distraction,mindfulness_stability_before_beeps,mindfulness_stability_during_beeps,mindfulness_fading_before_beeps,mindfulness_fading_during_beeps,mindfulness_jhana_before_beeps,mindfulness_jhana_during_beeps,mindfulness_beep_distraction,dat,MODTAS_sum,MODTAS_sum_repeated,dat_average,meditation_depth_before,meditation_depth_mean
3,day4,jhana,all,all,,,,9.878,387912,27.002,78.86,37.65,19.819,16.222,2.332,6.956,4.182,0.807,15.109,1.242,0.086,2.792,327.0,28.0,0.4717689655172414,0.9574793103448276,0.5980724137931035,1.070751724137931,0.33451034482758624,4.423303448275862,1.8843103448275864,8.1057,1.0702068965517242,0.9574793103448276,0.46091034482758625,18.892037931034483,2.967486206896552,8.991475862068965,1.188503448275862,0.16334137931034484,2.0,1.0,7.0,2.0,4.0,5.0,4.0,0.0,1.0,2.0,2.0,2.0,0.0,3.0,9.0,,,,,,,,8.37142,,74.0,,2.0,1.0
3,day4,mindfulness,all,all,,,,17.814,389280,26.036,75.445,40.114,17.474,20.231,1.022,19.791,7.598,0.343,9.028,3.013,0.097,3.141,281.0,29.0,0.540252,0.9481040000000001,0.629512,1.179732,0.379816,3.6944,2.091112,8.089127999999999,1.179144,0.9481040000000001,0.544664,15.046759999999999,3.864032,10.392244,1.25538,0.187844,2.0,2.0,,,,,,,,,,,,,,2.0,1.0,3.0,3.0,0.0,0.0,8.0,8.04052,,74.0,,2.0,1.5
4,day1,jhana,all,all,,,,3.274,389432,11.216,60.51,22.568,20.846,2.089,3.222,0.649,19.572,1.125,3.167,3.337,0.203,0.644,404.0,25.0,0.6890625,0.9887208333333333,0.7343625,1.5921083333333332,0.6241208333333333,2.7326916666666663,2.0742708333333333,6.957479166666666,1.5914875000000002,0.9887208333333333,0.49817500000000003,7.3911750000000005,3.194825,2.5901,0.4764,0.2546,2.0,1.0,3.0,5.0,5.0,6.0,5.0,0.0,2.0,2.0,3.0,,1.0,1.0,4.5,,,,,,,,7.42374,114.5,114.5,7.40503375,5.0,2.5
4,day1,mindfulness,all,all,,,,3.193,384480,4.885,58.993,35.858,37.71,7.436,10.082,0.738,17.799,0.848,4.087,6.32,0.129,2.259,433.0,24.0,0.5765041666666667,0.9785208333333334,0.6516416666666667,1.3368916666666666,0.45920416666666664,3.4960541666666667,1.9664083333333335,7.880083333333332,1.3362999999999998,0.9785208333333334,0.579825,7.927883333333333,3.1687,3.4136958333333336,0.3857291666666667,0.12914166666666668,2.0,2.0,,,,,,,,,,,,,,6.0,6.0,5.0,5.0,1.0,0.0,3.5,7.151,,114.5,,6.0,6.0
4,day2,jhana,all,all,,,,5.745,391128,14.85,56.972,24.336,29.268,5.416,10.296,0.526,18.707,0.197,3.389,4.877,0.084,0.817,369.0,24.0,0.6416066666666667,0.9876566666666666,0.6998466666666666,1.4957299999999998,0.57316,3.0231833333333333,2.0335166666666664,7.234873333333334,1.49511,0.9876566666666666,0.6560533333333333,6.7189000000000005,2.3936166666666665,2.3987800000000004,0.35561666666666664,0.18697,1.0,2.0,5.0,6.0,5.0,7.0,7.0,4.0,5.0,5.0,6.0,7.0,,,1.5,,,,,,,,8.20621,,114.5,,6.0,5.0
4,day2,mindfulness,all,all,,,,7.947,383360,7.753,56.852,52.767,31.192,0.285,0.467,0.611,15.53,1.088,4.129,4.295,0.431,1.063,368.0,30.0,0.47552758620689656,0.9707758620689655,0.5797,1.0809,0.35221379310344825,4.747937931034483,1.8552413793103448,8.8966,1.080341379310345,0.9707758620689655,0.2526137931034483,14.282837931034482,5.9399482758620685,3.502493103448276,0.33268275862068963,0.10432068965517241,1.0,1.0,,,,,,,,,,,,,,8.0,7.0,8.0,8.0,0.0,0.0,1.5,7.07907,,114.5,,8.0,7.5
4,day3,jhana,all,all,,,,7.699,388912,9.211,54.973,27.361,24.006,1.351,2.173,0.622,20.081,1.169,3.034,2.543,0.17,0.376,363.0,29.0,0.6964592592592593,0.9897407407407407,0.7340555555555556,1.6006740740740741,0.645662962962963,2.6983407407407407,2.0909185185185186,7.000807407407408,1.6000370370370371,0.9897407407407407,0.5052333333333333,7.5819222222222225,3.2796333333333334,2.7711740740740742,0.44157407407407406,0.2303037037037037,2.0,1.0,7.0,5.0,6.0,6.0,9.0,,5.0,5.0,6.0,8.0,6.0,4.0,1.0,,,,,,,,7.21696,,114.5,,5.0,5.0
4,day3,mindfulness,all,all,,,,6.555,383664,6.652,56.369,23.547,19.266,1.001,1.245,0.804,13.557,1.453,5.04,5.137,0.299,1.729,400.0,27.0,0.5693666666666667,0.9760814814814814,0.6481185185185185,1.3131407407407407,0.44235925925925923,3.5436888888888887,1.9751407407407409,7.95355925925926,1.312525925925926,0.9760814814814814,0.5223296296296296,4.462077777777778,1.8761370370370372,2.539937037037037,0.2748962962962963,0.07954444444444445,2.0,2.0,,,,,,,,,,,,,,9.0,8.5,8.0,7.5,1.0,0.0,0.5,7.09764,,114.5,,9.0,8.75
4,day4,jhana,all,all,,,,6.916,387960,19.424,56.962,29.71,26.844,3.634,4.906,0.741,19.516,0.803,3.207,3.885,1.67,0.746,297.0,27.0,0.34640625,0.9770625,0.45040625,0.763425,0.23779375,7.270325,1.72631875,8.83208125,0.762925,0.9770625,0.344775,59.71181875,5.45044375,3.2388875,0.50854375,0.19285,1.0,2.0,,,6.0,6.0,8.0,7.0,8.0,8.0,7.0,8.0,7.0,4.0,0.5,,,,,,,,7.50135,,114.5,,0.0,7.0
4,day4,mindfulness,all,all,,,,10.08,384856,2.839,55.927,25.778,22.985,2.873,3.337,0.861,18.622,1.543,3.547,4.521,0.504,1.566,227.0,16.0,0.32695384615384615,0.9762538461538461,0.46415384615384614,0.6638307692307692,0.20786923076923078,8.110453846153847,1.8822384615384615,9.237023076923077,0.663376923076923,0.9762538461538461,0.3753615384615384,46.68393076923077,6.329953846153846,3.4596,0.4189230769230769,0.11634615384615385,1.0,1.0,,,,,,,,,,,,,,7.0,4.0,7.0,1.0,0.0,0.0,1.0,7.5643,,114.5,,7.0,5.5
