,Mean_SCL,Num_SCRs,Mean_SCR_Amplitude,Mean_HR,SDNN,RMSSD,LF,HF,LF_HF_Ratio,Mean_RR,Mean_Amplitude,Mean_Cycle_Duration,RR_Variability,Amplitude_Variability,Cycle_Duration_Variability,n_epochs_y,n_channels_y,lempel_ziv_norm,permutation_entropy,spectral_entropy,sample_entropy,hjorth_mobility,hjorth_complexity,nk_fsi,nk_lle,nk_sampen,nk_pen,nk_lzc,delta,theta,alpha,beta,gamma
sample_entropy,-0.3022892758197954,0.08514975423356881,-0.09158777193760764,0.1632678651855513,0.007971535279382502,-0.07036549159582123,-0.0673513200209418,-0.13120301123765604,0.098071961718615,-0.29728168599234633,0.1611188662192286,0.12096770267455932,-0.25889675160524694,-0.12231353407927992,-0.0687207307479881,0.06793109409782817,0.0073886224110696905,0.9897797237097431,0.662183730369118,0.9676808216467236,1.0,0.9720732978899174,-0.9218413624946357,0.7810860576538488,-0.9348230527120797,0.9999999982153307,0.662183730369118,0.7695995121413594,-0.6776047946726372,-0.6272182873118808,-0.41490352953521425,0.030605414443215007,0.32709253560484214
hjorth_mobility,-0.3017910916285804,0.07866120304837772,-0.10371959303770038,0.12420022038437302,-0.008539911667698177,-0.11880615503366945,-0.13669855850252666,-0.17459984598921016,0.06832058326197804,-0.23348841824073846,0.16801852263125097,0.07187080167451493,-0.20939240391537317,-0.10164608662882829,-0.07947243111604106,0.00836982646754411,-0.03573946282354766,0.9824696423101057,0.6670621129279244,0.9700210281008662,0.9720732978899174,1.0,-0.854784693053774,0.8337360997875973,-0.9259148195693461,0.972079823109555,0.6670621129279242,0.7337543079837203,-0.574182237738348,-0.5762930073140743,-0.42260201449639034,0.06043161870613966,0.3813405503036374
hjorth_complexity,0.21066925790820504,-0.13628380009701674,0.05795218889665461,-0.22764887009019968,-0.004432443090757936,0.07888357590386505,-0.0033197572866157732,0.11587456788958733,-0.10905256194603213,0.2796630514441644,-0.08475055964548818,-0.11448732351024457,0.2182049831280483,0.1532338059057578,0.04160383523645128,-0.16823526807840405,-0.13447928239834178,-0.919267276076509,-0.38010277051350083,-0.9129645668572107,-0.9218413624946357,-0.854784693053774,1.0,-0.7339476128713022,0.7852473328615698,-0.921841143513438,-0.3801027705135007,-0.7378091776079926,0.8157000453731397,0.44675433454205277,0.1649118039911832,-0.13959067913235593,-0.2828284589217795
nk_fsi,-0.2550143915047099,-0.013831806407047925,-0.059902925679494755,0.17045020577531592,-0.0751995438009042,-0.13222875754615032,-0.1093868300855019,-0.12689129624085993,0.041577099873605146,-0.16018939181285793,0.16897557996646473,0.012749559611382065,-0.14492536221631377,-0.06268973861335236,-0.08617136961558262,-0.01971366612926457,0.009800611589272697,0.8211224909227645,0.47616932643152454,0.8376089566694901,0.7810860576538488,0.8337360997875973,-0.7339476128713022,1.0,-0.754219247607318,0.7810963913295844,0.4761693264315243,0.6006442663150914,-0.5431331167763824,-0.3799899260439649,-0.28317918022552024,0.09023749003095946,0.30464273149065646
nk_lle,0.3550291170719016,-0.02400546307414065,0.10149000153603335,-0.2464232604889305,-0.008061982963803853,0.056835491898196776,0.028042109265020262,0.10236436723068487,-0.08304577118739419,0.3652789985705914,-0.2679162706146472,-0.1868697608161155,0.35956833572619523,0.10643996081558506,0.07243663657369695,0.03170931082655543,0.03172561019814104,-0.909885021812966,-0.7898062344219118,-0.9086972331550356,-0.9348230527120797,-0.9259148195693461,0.7852473328615698,-0.754219247607318,1.0,-0.9348193192564732,-0.7898062344219118,-0.6936079477420981,0.4828923654716881,0.7574474458894117,0.54206196758917,-0.0037363708492324883,-0.3408034175458744
nk_sampen,-0.302285060299487,0.08514657768366041,-0.09158487843770009,0.16326923549036249,0.007965114118296474,-0.07037799168436978,-0.0673601229081504,-0.13121361366550793,0.0980676463556788,-0.2972682814598099,0.16112268089026177,0.12095683918606688,-0.258886735829873,-0.12230508620872789,-0.06872386211769964,0.06793004569859333,0.007384414358699884,0.9897849805060012,0.6621682111526906,0.967686084424551,0.9999999982153307,0.972079823109555,-0.921841143513438,0.7810963913295844,-0.9348193192564732,1.0,0.6621682111526901,0.7696050481582777,-0.6776035265937198,-0.6271989857669085,-0.41488966489867807,0.030624948185323537,0.32710938211875756
nk_pen,-0.4553261529472319,-0.01743873052212588,-0.13551233412306435,0.057370646719834106,-0.030838721927145964,0.012383816047887483,-0.0731880869459016,0.007122886350199157,0.003385060920365421,-0.2608100570342358,0.2026919986572356,0.11407427438406713,-0.3016417489923431,-0.11254690299344244,-0.1698702548513421,-0.09524606626074526,-0.12633983987066344,0.5930210705491126,1.0,0.5750819366109661,0.662183730369118,0.6670621129279242,-0.3801027705135007,0.4761693264315243,-0.7898062344219118,0.6621682111526901,1.0,0.4188666440724972,-0.14400871481121075,-0.7795688816783546,-0.7796724350538401,-0.3525768738427993,0.1031091063621587
nk_lzc,-0.17195723220884643,0.11092925063975115,0.012370848256102655,0.1911319507343654,0.003672117153544597,-0.07311384395628431,-0.011549518326151132,-0.10590312829391191,0.11568981572449395,-0.2814921264378016,0.04617960639007757,0.13077369046674672,-0.17833743016084289,-0.11675459299299859,0.032002566495877245,0.09849991225544286,-0.0011856928307107095,0.7728977172708013,0.4188666440724972,0.7564281166571158,0.7695995121413594,0.7337543079837203,-0.7378091776079926,0.6006442663150914,-0.6936079477420981,0.7696050481582777,0.4188666440724972,1.0,-0.5608742099722932,-0.44847223914839457,-0.2337295464079122,0.04395845256461604,0.20868929731117808
delta,0.04815131771978791,-0.08646519101672072,0.1185130526554221,-0.07938606975408924,0.060431179528372465,-0.0069400918504160585,-0.04241299570555702,0.006996758600523381,-0.10413720980214916,0.15468087095997782,0.008219809385795633,-0.05220024217471874,0.08284198377254333,0.19456452812024227,0.037129690603604555,-0.1635037024683157,-0.10986814780993398,-0.6738341238939335,-0.14400871481121075,-0.6827039982173441,-0.6776047946726372,-0.574182237738348,0.8157000453731397,-0.5431331167763824,0.4828923654716881,-0.6776035265937198,-0.14400871481121075,-0.5608742099722932,1.0,0.32991547173882246,0.14296329365493318,0.07939565730315411,-0.001326014614545428
theta,0.25031788099306135,-0.05849449183720726,0.019425355228686714,-0.2380653939226033,-0.04500574979221118,-0.07909421959799853,-0.16956273191093613,-0.026827904146434017,-0.12867315408831406,0.45924181219292187,-0.2784042545871817,-0.3289070755477639,0.3782598299109446,0.1575984993598867,-0.018910234004684334,0.1409410915933338,0.017014818891386365,-0.559182464253369,-0.7795688816783546,-0.5545679265452457,-0.6272182873118808,-0.5762930073140743,0.44675433454205277,-0.3799899260439649,0.7574474458894117,-0.6271989857669085,-0.7795688816783546,-0.44847223914839457,0.32991547173882246,1.0,0.6862366294933747,0.29468597681842124,-0.03801676015652252
alpha,0.23002773850780903,-0.03389330232719475,0.22894988623250978,0.12244364675595987,-0.07647715048794262,-0.15779893396203445,0.10902987431483951,0.006199726426654548,-0.07360839899831355,0.22438124397633655,-0.050112076105745695,-0.15393188411452943,0.2609230053137667,0.22088266480570357,0.11583972604763697,0.14995417555740304,0.19400405606127913,-0.34970917635955917,-0.7796724350538401,-0.3802591602908438,-0.41490352953521425,-0.42260201449639034,0.1649118039911832,-0.28317918022552024,0.54206196758917,-0.41488966489867807,-0.7796724350538401,-0.2337295464079122,0.14296329365493318,0.6862366294933747,1.0,0.5658190283798266,0.07358962705225808
beta,0.21049430308130077,-0.08352617092200347,0.15605786551282663,0.149068539226228,0.03929707475400156,-0.08570200762285068,0.09881203845021407,-0.0700395229980138,0.10984546472952736,-0.054521558284504786,0.12097335761877075,0.10359573940567389,0.06114145312059355,0.171518846486356,0.22645995058008397,-0.05746003319280484,0.18357657598334964,0.10418615724459276,-0.3525768738427993,0.09890503886306892,0.030605414443215007,0.06043161870613966,-0.13959067913235593,0.09023749003095946,-0.0037363708492324883,0.030624948185323537,-0.3525768738427993,0.04395845256461604,0.07939565730315411,0.29468597681842124,0.5658190283798266,1.0,0.8362312895102489
gamma,0.07172718487055237,-0.07384223864554247,0.021744195227004007,0.013087627751570782,0.09041372841753985,-0.03359426509773745,-0.033167556786838095,-0.13273343387173728,0.18723759336673193,-0.15611152364762781,0.14760972817261803,0.1443646153067361,-0.053410303536830996,0.07311462095223503,0.1288400924922211,-0.12559599087532786,0.088942196766414,0.37789498968051655,0.1031091063621587,0.3717279947553137,0.32709253560484214,0.3813405503036374,-0.2828284589217795,0.30464273149065646,-0.3408034175458744,0.32710938211875756,0.1031091063621587,0.20868929731117808,-0.001326014614545428,-0.03801676015652252,0.07358962705225808,0.8362312895102489,1.0
